hotelId,relevant,role1
101,1
192,0
223,0
388,0
398,1
462,1
509,0
568,0
570,0
610,1
630,1
658,0
659,0
716,0
767,0
819,0
839,0
858,0
864,1
922,1
930,0
995,0
996,0
1119,0
1128,0
1186,0
1356,0
1357,0
1386,0
1404,0
1500,1
1501,0
1511,0
1556,0
1630,1
1667,0
1680,1
1725,0
1764,0
1770,0
1799,0
1872,0
1927,0
1942,0
1993,1
1996,0
1997,0
2335,1
2465,1
2605,1
2876,0
2877,0
2958,1
4771,0
4778,0
4801,0
4805,0
4819,1
4977,0
5024,1
5041,0
5303,0
5309,0
5385,1
5562,0
5627,0
5729,0
7055,1
7341,0
7342,0
7343,0
7588,0
7599,0
7903,1
8207,1
8290,0
8961,0
9191,0
9518,0
10630,0
10672,0
11039,0
11140,0
11230,0
11275,0
12534,0
14112,0
15812,0
15877,1
15878,0
16373,1
17703,1
17743,0
17938,1
17979,1
18166,0
18246,1
18248,1
18270,0
18297,0
18311,0
18312,1
18319,1
18392,0
18476,0
18739,0
18763,1
19718,0
19745,0
20639,0
25302,0
27972,0
28024,0
28466,0
28484,0
28512,0
28570,1
28894,1
29183,0
29184,0
29229,0
29338,1
29381,0
29764,0
30094,1
31557,0
32060,0
38608,1
38649,0
39144,1
39247,0
39495,0
39581,1
40799,0
40956,1
41042,1
41069,0
41615,0
41703,0
41708,0
41851,1
43759,1
44059,1
44938,0
50703,0
50830,0
50921,0
51734,1
52992,0
54491,0
54885,1
56634,0
56758,0
56917,0
56975,1
67160,0
67299,1
67423,1
67905,0
68565,0
68688,1
69217,0
69292,0
70225,0
70358,1
70659,1
70707,0
70749,1
70793,1
70852,1
72086,0
74604,0
74635,0
74688,0
74696,0
76409,1
76496,0
78211,0
79262,0
79313,1
79388,1
80513,0
80619,0
80759,0
80766,1
80873,1
84558,0
104560,0
104598,0
104599,0
104688,0
104824,1
107778,0
107870,0
107898,1
108143,1
108336,0
108341,0
108351,0
108388,0
108411,1
108416,0
108417,0
108652,1
109008,0
109067,0
129429,0
129459,1
129490,0
129672,0
129907,1
129987,1
130043,0
130166,1
130586,0
134922,0
134923,1
135551,0
135973,0
136122,0
136139,0
136288,0
136820,1
136846,0
137085,0
137869,0
138039,0
140859,1
140984,1
141053,1
141356,0
142811,0
142951,1
143324,0
145305,1
145335,0
145444,0
146557,1
146877,0
146928,0
146993,0
147026,0
147101,0
147111,1
147193,0
