n_clusters,cluster,bathAverage,bathScore,chargeScore,description,distance,distanceScore,equipmentAverage,equipmentScore,hotelMiddleCharge,id,kinnennScore,locationAverage,locationScore,mealAverage,mealScore,name,nearestStation,roomAverage,roomScore,serviceAverage,serviceScore,tag,url
4,3,3.42,0.605,0.860149798348,近隣には、池袋サンシャイン、巣鴨地蔵があり、ビジネス・レジャーどちらも便利です,0.113,0.973333333333,3.33,0.5825,5292.0,108417,1.0,4.2,0.8,3.08,0.52,東横イン山手線大塚駅北口２,大塚（東京）,3.53,0.6325,3.13,0.5325,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=108417
4,0,3.55,0.6375,0.896331860956,池袋駅北口より徒歩4分★新宿・東京・品川駅へ好アクセス★東京ドームヘ３駅７分★朝食は和洋バイキング,0.387,0.838024691358,3.69,0.6725,4350.0,129459,1.0,3.82,0.705,3.42,0.605,アパホテル＜池袋駅北口＞,池袋,3.77,0.6925,3.75,0.6875,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129459
4,3,3.16,0.54,0.905895909353,2011年6月22日開業新築ホテル！新橋駅烏森口より徒歩9分、御成門駅A4出口より徒歩4分,0.615,0.725432098765,3.6,0.65,4101.0,129907,0.0,3.6,0.65,3.43,0.6075,アパホテル＜新橋御成門＞,新橋,3.52,0.63,3.6,0.65,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=129907
4,2,3.78,0.695,0.859804109852,暮らすように泊まる。あなたらしいホテルステイ。キッチン・生活家電付のスタイリッシュなホテル,0.175,0.942716049383,4.32,0.83,5301.0,130043,0.0,4.46,0.865,4.22,0.805,レジデンシャルホテル　ビーコンテ浅草,浅草,4.6,0.9,4.06,0.765,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130043
4,2,4.5,0.875,0.918225465719,『Our room your home』ご自宅のようにくつろげる、都会の中の隠れ家風旅館,0.326,0.868148148148,4.15,0.7875,3780.0,130166,0.0,4.44,0.86,4.5,0.875,御宿ちよだ,南千住,4.73,0.9325,4.73,0.9325,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=130166
4,0,3.72,0.68,0.879969272134,２０１１年１１月開業。都内名所、羽田空港に抜群のアクセス。最新設備とＣＯＯＬなデザイナーズルーム。,0.524,0.77037037037,3.73,0.6825,4776.0,134923,0.0,3.94,0.735,3.69,0.6725,相鉄フレッサイン　浜松町大門,浜松町,3.9,0.725,3.81,0.7025,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=134923
4,2,3.98,0.745,0.8492414058,2011年11月オープン！新橋駅から徒歩3分とビジネス観光に大変便利。大浴場で疲れを癒して下さい。,0.258,0.901728395062,4.2,0.8,5576.0,135973,1.0,4.59,0.8975,3.67,0.6675,ホテル新橋三番館,新橋,4.17,0.7925,4.13,0.7825,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135973
4,0,3.49,0.6225,0.852506241598,■ＪＲ山手線大塚駅より徒歩3分！■焼き立てパン朝食無料！■全館Wi-Fi完備！■全室ワイドベッド！,0.187,0.936790123457,3.95,0.7375,5491.0,136288,1.0,4.31,0.8275,3.97,0.7425,スーパーホテル　東京・大塚,大塚（東京）,4.25,0.8125,4.17,0.7925,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136288
4,3,3.26,0.565,0.938544267332,2012年3月16日、新築オープン！東京駅より1駅2分/秋葉原（アキバ）へは徒歩10分の好アクセス！,0.358,0.852345679012,3.51,0.6275,3251.0,136820,1.0,3.62,0.655,3.41,0.6025,アパホテル＜神田駅東＞,神田（東京）,3.62,0.655,3.47,0.6175,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136820
4,2,4.4,0.85,0.660418667179,2012年8月10日グランドオープン！新しい魅力がつまったGATE HOTEL STORY、開門。,0.434,0.814814814815,4.36,0.84,10492.0,137085,0.0,4.76,0.94,4.39,0.8475,ＴＨＥ　ＧＡＴＥ　ＨＯＴＥＬ（ザ・ゲートホテル）　雷門　ｂｙ　ＨＵＬＩＣ,浅草,4.5,0.875,4.51,0.8775,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=137085
4,0,3.43,0.6075,0.856001536393,2012年11月新築OPEN！渋谷ヒカリエ、原宿、代々木、表参道、新宿、池袋、東京駅へ便利,0.634,0.716049382716,3.79,0.6975,5400.0,138039,0.0,3.93,0.7325,3.62,0.655,アパホテル＜渋谷道玄坂上＞,渋谷,3.52,0.63,3.55,0.6375,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=138039
4,0,3.72,0.68,0.88768964855,蒲田エリア最大室数！　羽田利用ならこのホテル！,0.202,0.929382716049,4.06,0.765,4575.0,142951,0.0,4.14,0.785,3.59,0.6475,相鉄フレッサイン　東京蒲田,蒲田,4.22,0.805,3.95,0.7375,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=142951
4,3,3.36,0.59,0.863683502977,新宿駅近！女性専用宿泊施設。（個室型２段ベッド）滞在中は、露天風呂やシルキーバス等スパに入り放題！！,0.672,0.697283950617,3.64,0.66,5200.0,143324,1.0,3.71,0.6775,3.3,0.575,リ・ラックスパ　新宿（旧：Ｌｅ　Ｌｕｃｋ　ＳＰＡ　ＳＨＩＮＪＵＫＵ）,新宿,3.29,0.5725,3.5,0.625,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=143324
4,0,3.63,0.6575,0.909775302477,2014年4月11日新築オープン！新橋駅徒歩6分！ビジネスにもレジャーにも都心各所へアクセス抜群！,0.47,0.797037037037,3.98,0.745,4000.0,145305,1.0,3.9,0.725,3.42,0.605,アパホテル＜新橋　虎ノ門＞,新橋,4.07,0.7675,3.75,0.6875,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=145305
4,1,3.28,0.57,0.897484155944,新橋駅から徒歩３分のビジネスや観光に便利な立地。全室デュベスタイルのダブルベッド、ＶＯＤ見放題。,0.261,0.90024691358,3.88,0.72,4320.0,146557,0.0,3.96,0.74,0.0,-0.25,ＴＨＥ　ＨＯＴＥＬ　ＳＨＩＮＢＡＳＨＩ,新橋,3.92,0.73,3.73,0.6825,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146557
4,2,4.26,0.815,0.837718455925,２０１４年８月１５日オープン！東京ドームへ徒歩２分！全室WiFi無料！都内中心部の好立地！,0.457,0.803456790123,4.44,0.86,5876.0,146928,1.0,4.54,0.885,3.8,0.7,リッチモンドホテル東京水道橋（２０１４年８月１５日オープン）,水道橋,4.42,0.855,4.27,0.8175,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146928
4,3,3.08,0.52,0.862684847321,上野（入谷口）から徒歩５分という、ビジネスや観光に適した好立地に位置する心安らぐホテル。,0.432,0.815802469136,3.46,0.615,5226.0,147026,1.0,3.58,0.645,3.0,0.5,上野ホテル,上野,3.62,0.655,3.5,0.625,true3,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147026
4,2,4.44,0.86,0.861724601498,２０１４年夏・ＮＥＷ　ＯＰＥＮ！羽田空港へアクセス◎全室バス・トイレ・洗面台独立の快適空間♪,0.26,0.900740740741,3.89,0.7225,5251.0,147101,0.0,4.41,0.8525,3.5,0.625,三交インＧｒａｎｄｅ東京浜松町,浜松町,4.46,0.865,3.73,0.6825,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147101
4,0,3.42,0.605,0.901094680238,センチュリオンホテルが池袋に新規オープン！ビジネス・レジャーに好アクセス！,0.358,0.852345679012,4.1,0.775,4226.0,147111,1.0,4.35,0.8375,3.38,0.595,センチュリオンホテル池袋（２０１４年９月グランドオープン）,池袋,3.94,0.735,3.49,0.6225,true1,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=147111
4,0,3.52,0.63,0.885730747071,JR・地下鉄御茶ノ水駅から徒歩3分の好立地でアクセス抜群。2010年にデザイナーズルームに変身。,0.25,0.905679012346,4.01,0.7525,4626.0,1993,0.0,4.62,0.905,3.65,0.6625,お茶の水イン,御茶ノ水,3.95,0.7375,4.34,0.835,true0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1993
