n_clusters,cluster,bathAverage,bathScore,chargeScore,description,distance,distanceScore,equipmentAverage,equipmentScore,hotelMiddleCharge,id,locationAverage,locationScore,mealAverage,mealScore,name,nearestStation,roomAverage,roomScore,serviceAverage,serviceScore,url
2,1,3.69,0.6725,0.748454004225,若きクリエーター達によるこだわりのインテリア・寛ぎの空間でお出迎えするアートでポップなデザインホテル,0.204,0.928395061728,4.0,0.75,8200.0,52992,4.29,0.8225,3.69,0.6725,渋谷グランベルホテル,渋谷,3.82,0.705,3.84,0.71,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=52992
2,1,3.6,0.65,0.769541002497,都内主要地へ行くにも交通便利。絶好のロケーション。,0.323,0.86962962963,3.79,0.6975,7651.0,15878,4.2,0.8,3.77,0.6925,ホテル東京ガーデンパレス,御茶ノ水,3.81,0.7025,4.0,0.75,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=15878
2,1,3.86,0.715,0.909775302477,近所にコンビニ、銀座や汐留・お台場・丸の内どこへ行くにも絶好の立地。観光やビジネスに最適,0.45,0.806913580247,3.93,0.7325,4000.0,79388,3.9,0.725,4.17,0.7925,日比谷シティホテル,新橋,4.0,0.75,4.08,0.77,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=79388
2,1,2.94,0.485,0.905934319186,◆全室高速ＬＡＮ、空気清浄機有完備。一部客室にはＤＶＤプレイヤーもあり。,0.293,0.884444444444,3.33,0.5825,4100.0,2335,3.76,0.69,4.0,0.75,ホテルサンライン蒲田,蒲田,3.56,0.64,3.7,0.675,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2335
2,1,3.82,0.705,0.77722296908,JR渋谷駅新南口直結！！ビジネスでのご利用はもちろん、観光スポットへのアクセスも抜群です！,0.324,0.869135802469,4.0,0.75,7451.0,14112,4.27,0.8175,3.86,0.715,ホテルメッツ渋谷　東京,渋谷,4.08,0.77,4.02,0.755,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=14112
2,0,3.5,0.625,0.671403879393,◆高速LANインターネット無料◆渋谷であることを忘れてしまう、安らぎと静けさに包まれたホテルです。,0.835,0.616790123457,4.43,0.8575,10206.0,19745,4.43,0.8575,0.0,-0.25,渋谷クレストンホテル,渋谷,4.43,0.8575,4.57,0.8925,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=19745
2,1,3.98,0.745,0.8492414058,2011年11月オープン！新橋駅から徒歩3分とビジネス観光に大変便利。大浴場で疲れを癒して下さい。,0.258,0.901728395062,4.2,0.8,5576.0,135973,4.59,0.8975,3.67,0.6675,ホテル新橋三番館,新橋,4.17,0.7925,4.13,0.7825,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=135973
2,1,3.7,0.675,0.870674092568,ＪＲ上野駅入谷出口より徒歩1分!朝はパンと飲み物をサービス！全室高速インターネット接続！,0.223,0.919012345679,3.5,0.625,5018.0,9518,4.4,0.85,4.0,0.75,サットンプレイスホテル上野,上野,3.9,0.725,3.8,0.7,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=9518
2,1,4.37,0.8425,0.811791818706,東京駅から徒歩3分。男女別の大浴場「八重桜の湯」は健康イオン水大浴場と炭酸泉がお楽しみいただけます。,0.361,0.850864197531,4.18,0.795,6551.0,141356,4.79,0.9475,3.81,0.7025,スーパーホテルＬｏｈａｓ東京駅八重洲中央口　八重桜の湯,東京,4.3,0.825,4.36,0.84,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=141356
2,1,3.35,0.5875,0.773036297292,ＪＲ新宿駅から徒歩１分のベストロケーション。ビジネスやレジャーの拠点として最適の空間です。,0.169,0.945679012346,3.72,0.68,7560.0,28466,4.83,0.9575,3.44,0.61,セントラルホテル東京,新宿,3.72,0.68,3.66,0.665,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28466
2,1,3.57,0.6425,0.853082389092,高速インターネット/ＬＡＮケーブル（無料）,0.364,0.849382716049,3.67,0.6675,5476.0,70707,4.53,0.8825,3.89,0.7225,ザ・ビー池袋,池袋,4.01,0.7525,3.68,0.67,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=70707
2,1,4.8,0.95,0.375840215095,2014年8月、創業116年の旅館が全室和モダンなスイートルームのホテルとしてリニューアルオープン！,0.357,0.852839506173,5.0,1.0,17901.0,146993,4.2,0.8,4.25,0.8125,ホテル龍名館お茶の水本店,御茶ノ水,5.0,1.0,5.0,1.0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146993
2,1,4.46,0.865,0.786863837142,美人の湯、熱の湯特徴を持った蒲田黒湯温泉で癒しののひととき。全室LANポート設置。羽田送客プランも有,0.174,0.943209876543,3.74,0.685,7200.0,568,4.78,0.945,3.27,0.5675,ホテル末広＜東京都＞,蒲田,3.65,0.6625,4.19,0.7975,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=568
2,1,3.94,0.735,0.765700019205,【東京スカイツリー(R)フレンドシップホテル】粋な町・浅草らしさでおもてなし。,0.168,0.946172839506,4.02,0.755,7751.0,570,4.51,0.8775,4.43,0.8575,浅草ビューホテル,浅草,4.45,0.8625,4.13,0.7825,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=570
2,1,3.25,0.5625,0.821432686768,ＪＲ上野駅より徒歩１分。ビジネス、観光等に交通の便よく、女性御一人でも安心してお泊りいただけます。,0.165,0.947654320988,3.6,0.65,6300.0,32060,5.0,1.0,4.0,0.75,ホテル　福屋＜東京都＞,上野,3.2,0.55,3.6,0.65,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=32060
2,1,3.54,0.635,0.748454004225,◆阪急阪神第一ホテルグループ◆ 都会の隠れ家をコンセプト、銀座・新橋にも近くて便利。,0.372,0.845432098765,4.0,0.75,8200.0,2877,4.23,0.8075,3.75,0.6875,第一ホテルアネックス,新橋,3.69,0.6725,3.54,0.635,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2877
2,1,3.44,0.61,0.839446898406,JR新橋駅徒歩２分。銀座・汐留各方面アクセス抜群！清潔さ・安らぎ・合理化による低価格をご提供します。,0.189,0.935802469136,3.5,0.625,5831.0,28484,4.44,0.86,3.42,0.605,チェックイン新橋,新橋,3.27,0.5675,3.55,0.6375,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28484
2,1,3.35,0.5875,0.848281159977,渋谷駅から徒歩5分。小さいけれど小粋な、パリっとしたプチホテル☆青山大学まで1本道で徒歩5分,0.404,0.82962962963,3.72,0.68,5601.0,29764,4.1,0.775,3.4,0.6,サクラ・フルール　青山,渋谷,3.89,0.7225,3.97,0.7425,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=29764
2,1,3.33,0.5825,0.793777607067,お嬢様御一人でも御安心なお宿,0.337,0.862716049383,3.23,0.5575,7020.0,31557,4.71,0.9275,5.0,1.0,景雲荘,新宿,4.17,0.7925,3.9,0.725,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=31557
2,1,4.08,0.77,0.9107355483,JR蒲田駅東口から徒歩１分！羽田空港行きシャトルバス乗り場も徒歩1分です。！,0.135,0.962469135802,4.14,0.785,3975.0,18246,4.49,0.8725,4.1,0.775,アーヴェストホテル蒲田（東口）,蒲田,4.12,0.78,4.01,0.7525,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18246
2,1,3.91,0.7275,0.782024198195,JR山手線大塚駅南口より徒歩１分！駐車場完備！車派も電車派も◎ワンランク上のウェディングスホテル！,0.059,1.0,4.15,0.7875,7326.0,839,4.7,0.925,3.94,0.735,ホテル　ベルクラシック東京,大塚（東京）,4.38,0.845,4.26,0.815,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=839
2,1,3.21,0.5525,0.852160553102,全室有線ＬＡＮインターネット接続無料。全室ビデオ・ＤＶＤデッキを完備。２４時間フロント対応。,0.315,0.873580246914,3.89,0.7225,5500.0,39495,4.0,0.75,3.64,0.66,ミヤビイン蒲田,蒲田,3.76,0.69,4.06,0.765,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39495
2,1,3.92,0.73,0.704513155368,JR他新宿駅南口から徒歩3分。 客室は、全て22階以上！ビジネスやレジャーに絶好のロケーションです,0.4,0.831604938272,4.1,0.775,9344.0,1356,4.7,0.925,4.16,0.79,小田急ホテルセンチュリーサザンタワー,新宿,4.25,0.8125,4.03,0.7575,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1356
2,1,4.0,0.75,0.844478586518,２０１０年４月開業！全室洗濯乾燥機付きのホテル。夜洗って朝着られる快適なステイをお楽しみ下さい,0.412,0.825679012346,4.17,0.7925,5700.0,84558,4.11,0.7775,3.51,0.6275,東急ステイ池袋,池袋,4.35,0.8375,4.11,0.7775,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=84558
2,1,3.48,0.62,0.889994238525,クチコミ件数が物語るコストパフォーマンス！蒲田駅西口徒歩約３分！羽田空港へのアクセスも便利,0.295,0.883456790123,3.74,0.685,4515.0,68688,4.23,0.8075,4.16,0.79,スーパーホテル東京・ＪＲ蒲田西口,蒲田,4.21,0.8025,4.12,0.78,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68688
2,1,3.63,0.6575,0.869444977914,JR御茶ノ水駅、秋葉原駅、東京メトロから徒歩圏内。１階にコンビニとレストランを併設。損保会館至近。,0.404,0.82962962963,3.88,0.72,5050.0,56917,4.32,0.83,3.93,0.7325,ホテルマイステイズ御茶ノ水,御茶ノ水,4.08,0.77,3.92,0.73,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56917
2,1,4.04,0.76,0.830036489341,全室に洗濯乾燥機・電子レンジを完備！連泊に便利なホテルです。,0.302,0.88,4.26,0.815,6076.0,67160,4.45,0.8625,3.72,0.68,東急ステイ水道橋,水道橋,4.4,0.85,4.1,0.775,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=67160
2,1,3.51,0.6275,0.779181870559,東京駅より１駅＆秋葉原までも徒歩10分♪コンビニ近隣にあります！サンキュープランがおススメです★,0.16,0.95012345679,3.71,0.6775,7400.0,18270,4.17,0.7925,3.58,0.645,京王プレッソイン神田,神田（東京）,4.06,0.765,3.97,0.7425,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18270
2,1,3.29,0.5725,0.853696946418,ＪＲ上野駅の浅草口を出て左へ徒歩１分。ビジネス・観光等に最適です。全室ウォッシュレット完備。,0.132,0.963950617284,3.72,0.68,5460.0,40799,4.82,0.955,4.0,0.75,ホテル　ニューウエノ,上野,3.49,0.6225,3.94,0.735,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40799
2,1,3.25,0.5625,0.87136546956,新橋駅から徒歩３分。銀座８丁目に有る立地条件の良いビジネスホテル。,0.262,0.89975308642,3.55,0.6375,5000.0,864,4.68,0.92,4.0,0.75,銀座国際ホテル,新橋,3.84,0.71,3.76,0.69,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=864
2,1,3.54,0.635,0.814518916843,池袋エリアでビジネス・レジャーに交通至便。静かで落ち着いた雰囲気のホテルです。,0.078,0.990617283951,3.71,0.6775,6480.0,28512,4.01,0.7525,4.31,0.8275,ホテルメンテルス大塚,大塚（東京）,3.9,0.725,4.06,0.765,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28512
2,1,3.57,0.6425,0.77722296908,ＪＲ神田駅東口徒歩４分。無料朝食・ウェルカムコーヒーサービス、全室無線・有線ＬＡＮネット無料,0.236,0.912592592593,3.8,0.7,7451.0,69217,3.88,0.72,4.07,0.7675,コンフォートホテル東京神田,神田（東京）,3.96,0.74,4.07,0.7675,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=69217
2,1,3.46,0.615,0.880929517957,池袋駅東口徒歩2分と絶好のロケーション。全室LAN接続無料。館内24時間営業のコンビニあり。,0.262,0.89975308642,3.75,0.6875,4751.0,610,4.67,0.9175,4.29,0.8225,第一イン池袋,池袋,4.13,0.7825,3.9,0.725,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=610
2,1,3.49,0.6225,0.852506241598,■ＪＲ山手線大塚駅より徒歩3分！■焼き立てパン朝食無料！■全館Wi-Fi完備！■全室ワイドベッド！,0.187,0.936790123457,3.95,0.7375,5491.0,136288,4.31,0.8275,3.97,0.7425,スーパーホテル　東京・大塚,大塚（東京）,4.25,0.8125,4.17,0.7925,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=136288
2,1,3.5,0.625,0.929710005761,ＪＲ蒲田駅徒歩0分！別館”和”の温泉＋岩盤浴が付いてるオトクなプランあり！ＶＯＤプランもオススメ！,0.1,0.97975308642,3.62,0.655,3481.0,101,4.76,0.94,3.79,0.6975,シティホテル弘城,蒲田,3.4,0.6,3.92,0.73,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=101
2,1,3.41,0.6025,0.858882273862,【池袋東口5分！サンシャイン60近く】新鮮野菜と手作り料理の朝食が自慢。wifiルータ貸し出し中♪,0.477,0.793580246914,3.77,0.6925,5325.0,1128,4.09,0.7725,4.48,0.87,ホテルグランドシティ,池袋,3.71,0.6775,3.97,0.7425,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1128
2,1,4.63,0.9075,0.822969080085,平成２１年６月新装オープン。大浴場、サウナあり。洋室の他、和室、露天風呂付など客室１０タイプ。,0.485,0.78962962963,4.32,0.83,6260.0,74604,4.22,0.805,4.18,0.795,お茶の水ホテル昇龍館,御茶ノ水,4.31,0.8275,4.65,0.9125,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=74604
